indicator,country_name,unit,FINAL_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Household and NPISH final consumption expenditure,Belgium,"Chain linked volumes, index 2010=100",BEL_PCR_ESTAT,85.889,86.699,87.229,87.855,88.79,90.072,91.671,93.589,94.876,96.342,100,100.608,102.01,103.362,104.389,106.086,107.791,109.851,111.622,113.237,105.09,110.953,115.035,116.267,118.631,NA
Household and NPISH final consumption expenditure,Bulgaria,"Chain linked volumes, index 2010=100",BGR_PCR_ESTAT,57.228,61.62,65.128,69.358,75.928,81.482,88.435,98.598,102.04,97.689,100,101.989,105.794,101.706,103.213,106.083,108.295,110.956,114.606,121.479,121.166,131.625,136.908,138.369,145.212,NA
Household and NPISH final consumption expenditure,Czechia,"Chain linked volumes, index 2010=100",CZE_PCR_ESTAT,74.809,76.999,79.497,83.342,85.854,88.826,92.108,95.916,98.852,98.242,100,100.56,99.875,100.664,102.043,105.739,109.532,114.455,118.494,122.134,114.28,119.059,119.691,116.587,119.443,NA
Household and NPISH final consumption expenditure,Denmark,"Chain linked volumes, index 2010=100",DNK_PCR_ESTAT,86.721,87.158,88.437,89.598,93.927,97.572,100.285,102.197,102.395,98.713,100,100.24,100.599,102.118,101.879,103.887,107.296,110.208,114.347,116.371,114.889,121.341,118.689,115.673,116.807,NA
Household and NPISH final consumption expenditure,Germany,"Chain linked volumes, index 2010=100",DEU_PCR_ESTAT,95.165,96.105,95.566,96.284,96.896,97.773,99.166,99.018,99.082,99.441,100,101.182,102.322,102.407,103.42,105.806,108.171,109.796,111.348,113.206,105.563,107.643,114.673,113.924,114.525,116.077
Household and NPISH final consumption expenditure,Estonia,"Chain linked volumes, index 2010=100",EST_PCR_ESTAT,65.982,70.566,77.379,84.894,91.801,100.732,113.701,123.287,117.701,101.286,100,103.734,109.228,113.967,118.751,124.365,129.693,132.627,138.733,144.663,143.452,153.744,158.221,156.098,156.247,NA
Household and NPISH final consumption expenditure,Ireland,"Chain linked volumes, index 2010=100",IRL_PCR_ESTAT,74.707,78.244,81.089,83.353,86.535,92.613,98.528,105.104,105.305,99.699,100,98.476,97.433,97.376,99.805,102.985,107.397,111.058,117.141,120.367,108.102,117.801,130.531,136.247,140.323,NA
Household and NPISH final consumption expenditure,Greece,"Chain linked volumes, index 2010=100",GRC_PCR_ESTAT,79.435,83.716,88.631,91.929,95.782,99.145,100.975,105.738,109.624,107.953,100,92.054,83.412,80.814,80.907,81.217,81.493,83.585,85.478,87.713,82.277,86.465,94.464,96.633,98.964,NA
Household and NPISH final consumption expenditure,Spain,"Chain linked volumes, index 2010=100",ESP_PCR_ESTAT,80.96,84.153,86.77,88.866,92.529,96.413,100.345,103.83,103.17,99.529,100,97.584,94.363,91.655,93.245,96.039,98.59,101.623,103.385,104.565,91.943,98.476,103.31,105.147,108.381,112.105
Household and NPISH final consumption expenditure,France,"Chain linked volumes, index 2010=100",FRA_PCR_ESTAT,82.774,84.899,86.725,88.122,89.822,92.098,94.632,97.251,97.779,98.053,100,100.8,100.439,101.044,102.076,103.722,105.499,107.05,108.185,109.998,102.898,108.304,111.898,112.656,113.854,NA
Household and NPISH final consumption expenditure,Croatia,"Chain linked volumes, index 2010=100",HRV_PCR_ESTAT,77.045,81.135,88.855,92.914,97.187,101.641,102.965,108.145,111.494,101.56,100,100.993,98.572,97.012,94.607,94.962,97.968,101.079,104.488,108.751,103.129,114.214,122.083,126.079,133.66,NA
